MGLT,cargo_capacity,consumables,cost_in_credits,created,crew,edited,films,hyperdrive_rating,length,manufacturer,max_atmosphering_speed,model,name,passengers,pilots,starship_class,url
60,unknown,2 years,104000000,2014-12-18T10:54:57.804000Z,5400,2014-12-22T17:35:44.957852Z,['https://swapi.co/api/films/3/'],1.0,1200,Mon Calamari shipyards,n/a,MC80 Liberty type Star Cruiser,Calamari Cruiser,1200,[],Star Cruiser,https://swapi.co/api/starships/27/
120,40,1 week,175000,2014-12-18T11:16:34.542000Z,1,2014-12-22T17:35:44.978754Z,['https://swapi.co/api/films/3/'],1.0,9.6,"Alliance Underground Engineering, Incom Corporation",1300,RZ-1 A-wing Interceptor,A-wing,0,['https://swapi.co/api/people/29/'],Starfighter,https://swapi.co/api/starships/28/
91,45,1 week,220000,2014-12-18T11:18:04.763000Z,1,2014-12-22T17:35:45.011193Z,['https://swapi.co/api/films/3/'],2.0,16.9,Slayn & Korpil,950,A/SF-01 B-wing starfighter,B-wing,0,[],Assault Starfighter,https://swapi.co/api/starships/29/
unknown,unknown,unknown,unknown,2014-12-19T17:01:31.488000Z,9,2014-12-22T17:35:45.027308Z,['https://swapi.co/api/films/4/'],2.0,115,Corellian Engineering Corporation,900,Consular-class cruiser,Republic Cruiser,16,[],Space cruiser,https://swapi.co/api/starships/31/
unknown,65,7 days,200000,2014-12-19T17:39:17.582000Z,1,2014-12-22T17:35:45.079452Z,"['https://swapi.co/api/films/5/', 'https://swapi.co/api/films/4/']",1.0,11,Theed Palace Space Vessel Engineering Corps,1100,N-1 starfighter,Naboo fighter,0,"['https://swapi.co/api/people/11/', 'https://swapi.co/api/people/60/', 'https://swapi.co/api/people/35/']",Starfighter,https://swapi.co/api/starships/39/
unknown,unknown,unknown,unknown,2014-12-19T17:45:03.506000Z,8,2014-12-22T17:35:45.091925Z,['https://swapi.co/api/films/4/'],1.8,76,"Theed Palace Space Vessel Engineering Corps, Nubia Star Drives",920,J-type 327 Nubian royal starship,Naboo Royal Starship,unknown,['https://swapi.co/api/people/39/'],yacht,https://swapi.co/api/starships/40/
unknown,2500000,30 days,55000000,2014-12-20T09:39:56.116000Z,1,2014-12-22T17:35:45.105522Z,['https://swapi.co/api/films/4/'],1.5,26.5,Republic Sienar Systems,1180,Star Courier,Scimitar,6,['https://swapi.co/api/people/44/'],Space Transport,https://swapi.co/api/starships/41/
unknown,unknown,1 year,2000000,2014-12-20T11:05:51.237000Z,5,2014-12-22T17:35:45.124386Z,['https://swapi.co/api/films/5/'],0.7,39,"Theed Palace Space Vessel Engineering Corps, Nubia Star Drives",2000,J-type diplomatic barge,J-type diplomatic barge,10,[],Diplomatic barge,https://swapi.co/api/starships/43/
unknown,unknown,unknown,unknown,2014-12-20T17:24:23.509000Z,unknown,2014-12-22T17:35:45.135987Z,['https://swapi.co/api/films/5/'],unknown,390,Botajef Shipyards,unknown,Botajef AA-9 Freighter-Liner,AA-9 Coruscant freighter,30000,[],freighter,https://swapi.co/api/starships/47/
unknown,60,7 days,180000,2014-12-20T17:35:23.906000Z,1,2014-12-22T17:35:45.147746Z,"['https://swapi.co/api/films/5/', 'https://swapi.co/api/films/6/']",1.0,8,Kuat Systems Engineering,1150,Delta-7 Aethersprite-class interceptor,Jedi starfighter,0,"['https://swapi.co/api/people/10/', 'https://swapi.co/api/people/58/']",Starfighter,https://swapi.co/api/starships/48/
unknown,unknown,unknown,unknown,2014-12-20T17:46:46.847000Z,4,2014-12-22T17:35:45.158969Z,['https://swapi.co/api/films/5/'],0.9,47.9,Theed Palace Space Vessel Engineering Corps,8000,H-type Nubian yacht,H-type Nubian yacht,unknown,['https://swapi.co/api/people/35/'],yacht,https://swapi.co/api/starships/49/
60,36000000,2 years,150000000,2014-12-10T15:08:19.848000Z,47060,2014-12-22T17:35:44.410941Z,"['https://swapi.co/api/films/2/', 'https://swapi.co/api/films/3/', 'https://swapi.co/api/films/1/']",2.0,"1,600",Kuat Drive Yards,975,Imperial I-class Star Destroyer,Star Destroyer,0,[],Star Destroyer,https://swapi.co/api/starships/3/
unknown,50000000,4 years,125000000,2014-12-20T19:40:21.902000Z,600,2014-12-22T17:35:45.195165Z,['https://swapi.co/api/films/6/'],1.5,1088,"Rendili StarDrive, Free Dac Volunteers Engineering corps.",1050,Providence-class carrier/destroyer,Trade Federation cruiser,48247,"['https://swapi.co/api/people/10/', 'https://swapi.co/api/people/11/']",capital ship,https://swapi.co/api/starships/59/
unknown,50000,56 days,1000000,2014-12-20T19:48:40.409000Z,5,2014-12-22T17:35:45.208584Z,['https://swapi.co/api/films/6/'],1.0,18.5,Cygnus Spaceworks,2000,Theta-class T-2c shuttle,Theta-class T-2c shuttle,16,[],transport,https://swapi.co/api/starships/61/
unknown,unknown,unknown,unknown,2015-04-17T06:58:50.614475Z,1,2015-04-17T06:58:50.614528Z,['https://swapi.co/api/films/7/'],unknown,unknown,Incom,unknown,T-70 X-wing fighter,T-70 X-wing fighter,unknown,['https://swapi.co/api/people/86/'],fighter,https://swapi.co/api/starships/77/
20,19000000,6 months,unknown,2014-12-15T12:34:52.264000Z,6,2014-12-22T17:35:44.680838Z,"['https://swapi.co/api/films/2/', 'https://swapi.co/api/films/3/']",4.0,90,"Gallofree Yards, Inc.",650,GR-75 medium transport,Rebel transport,90,[],Medium transport,https://swapi.co/api/starships/17/
unknown,4000000000,500 days,unknown,2014-12-19T17:04:06.323000Z,175,2014-12-22T17:35:45.042900Z,"['https://swapi.co/api/films/5/', 'https://swapi.co/api/films/4/', 'https://swapi.co/api/films/6/']",2.0,3170,"Hoersch-Kessel Drive, Inc.",n/a,Lucrehulk-class Droid Control Ship,Droid control ship,139000,[],Droid control ship,https://swapi.co/api/starships/32/
unknown,11250000,2 years,unknown,2014-12-20T18:08:42.926000Z,700,2014-12-22T17:35:45.171653Z,['https://swapi.co/api/films/5/'],0.6,752,Rothana Heavy Engineering,unknown,Acclamator I-class assault ship,Republic Assault ship,16000,[],assault ship,https://swapi.co/api/starships/52/
unknown,240,7 days,35700,2014-12-20T18:37:56.969000Z,3,2014-12-22T17:35:45.183075Z,['https://swapi.co/api/films/5/'],1.5,15.2,Huppla Pasa Tisc Shipwrights Collective,1600,Punworcca 116-class interstellar sloop,Solar Sailer,11,[],yacht,https://swapi.co/api/starships/58/
unknown,20000000,2 years,59000000,2014-12-20T19:52:56.232000Z,7400,2014-12-22T17:35:45.224540Z,['https://swapi.co/api/films/6/'],1.0,1137,"Kuat Drive Yards, Allanteen Six shipyards",975,Senator-class Star Destroyer,Republic attack cruiser,2000,[],star destroyer,https://swapi.co/api/starships/63/
unknown,unknown,unknown,unknown,2014-12-20T19:55:15.396000Z,3,2014-12-22T17:35:45.258859Z,['https://swapi.co/api/films/6/'],0.5,29.2,"Theed Palace Space Vessel Engineering Corps/Nubia Star Drives, Incorporated",1050,J-type star skiff,Naboo star skiff,3,"['https://swapi.co/api/people/10/', 'https://swapi.co/api/people/35/']",yacht,https://swapi.co/api/starships/64/
unknown,60,2 days,320000,2014-12-20T19:56:57.468000Z,1,2014-12-22T17:35:45.272349Z,['https://swapi.co/api/films/6/'],1.0,5.47,Kuat Systems Engineering,1500,Eta-2 Actis-class light interceptor,Jedi Interceptor,0,"['https://swapi.co/api/people/10/', 'https://swapi.co/api/people/11/']",starfighter,https://swapi.co/api/starships/65/
100,110,5 days,155000,2014-12-20T20:03:48.603000Z,3,2014-12-22T17:35:45.287214Z,['https://swapi.co/api/films/6/'],1.0,14.5,"Incom Corporation, Subpro Corporation",1000,Aggressive Reconnaissance-170 starfighte,arc-170,0,[],starfighter,https://swapi.co/api/starships/66/
unknown,140,7 days,168000,2014-12-20T20:38:05.031000Z,1,2014-12-22T17:35:45.381900Z,['https://swapi.co/api/films/6/'],6,6.71,Feethan Ottraw Scalable Assemblies,1100,Belbullab-22 starfighter,Belbullab-22 starfighter,0,"['https://swapi.co/api/people/10/', 'https://swapi.co/api/people/79/']",starfighter,https://swapi.co/api/starships/74/
unknown,60,15 hours,102500,2014-12-20T20:43:04.349000Z,1,2014-12-22T17:35:45.396711Z,['https://swapi.co/api/films/6/'],1.0,7.9,Kuat Systems Engineering,1050,Alpha-3 Nimbus-class V-wing starfighter,V-wing,0,[],starfighter,https://swapi.co/api/starships/75/
60,3000000,1 year,3500000,2014-12-10T14:20:33.369000Z,165,2014-12-22T17:35:45.408368Z,"['https://swapi.co/api/films/6/', 'https://swapi.co/api/films/3/', 'https://swapi.co/api/films/1/']",2.0,150,Corellian Engineering Corporation,950,CR90 corvette,CR90 corvette,600,[],corvette,https://swapi.co/api/starships/2/
unknown,40000000,2 years,57000000,2014-12-20T20:07:11.538000Z,200,2017-04-19T10:53:32.700283Z,['https://swapi.co/api/films/6/'],1.0,825,"Hoersch-Kessel Drive, Inc, Gwori Revolutionary Industries",unknown,Munificent-class star frigate,Banking clan frigate,unknown,[],cruiser,https://swapi.co/api/starships/68/
